Specification, Line, Documentation, Message
Long_BadParsingArgs, org.apache.commons.fileupload.servlet.ServletRequestContext.contentLength(ServletRequestContext.java:99), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Long_BadParsingArgs.html, Wrong argument to Long.parseLong(String s)
Closeable_MultipleClose, org.apache.commons.fileupload.MultipartStream$ItemInputStream.close(MultipartStream.java:950), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Closeable_MultipleClose.html, close() was invoked multiple times.
Serializable_UID, org.apache.commons.io.output.StringBuilderWriter.<clinit>(StringBuilderWriter.java:1), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Serializable_UID.html, A serializable class org.apache.commons.io.output.StringBuilderWriter does not declare a serialVersionUID
Long_BadParsingArgs, org.apache.commons.fileupload.FileUploadBase$FileItemIteratorImpl.getContentLength(FileUploadBase.java:1093), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Long_BadParsingArgs.html, Wrong argument to Long.parseLong(String s)
OutputStream_ManipulateAfterClose, org.apache.commons.io.output.ThresholdingOutputStream.close(ThresholdingOutputStream.java:158), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/OutputStream_ManipulateAfterClose.html, write() or flush() was invoked after close().
Closeable_MultipleClose, org.apache.commons.fileupload.FileUploadBase$FileItemIteratorImpl$FileItemStreamImpl.close(FileUploadBase.java:870), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Closeable_MultipleClose.html, close() was invoked multiple times.
Closeable_MeaninglessClose, org.apache.commons.fileupload.util.Streams.copy(Streams.java:111), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Closeable_MeaninglessClose.html, close() has no effect.
Closeable_MeaninglessClose, org.apache.commons.io.IOUtils.closeQuietly(IOUtils.java:285), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Closeable_MeaninglessClose.html, close() has no effect.
Iterator_HasNext, org.apache.commons.fileupload.SizesTest.testFileUpload(SizesTest.java:77), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Iterator_HasNext.html, Iterator.hasNext() was not called before calling next().
Long_StaticFactory, org.apache.commons.fileupload.ProgressListenerTest$ProgressListenerImpl.update(ProgressListenerTest.java:57), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Long_StaticFactory.html, Using the constructor Long(long value) might be inefficient. Use valueOf(long) if it is appropriate.
Integer_StaticFactory, org.apache.commons.fileupload.ProgressListenerTest$ProgressListenerImpl.update(ProgressListenerTest.java:59), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Integer_StaticFactory.html, Using the constructor Integer(int value) might be inefficient. Use valueOf(int) if it is appropriate.
Dictionary_Obsolete, org.apache.commons.fileupload.portlet.MockPortletActionRequest.<init>(MockPortletActionRequest.java:68), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Dictionary_Obsolete.html, The Dictionary class is obsolete. New implementations should implement the Map interface.
Long_BadParsingArgs, org.apache.commons.fileupload.portlet.PortletRequestContext.contentLength(PortletRequestContext.java:101), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Long_BadParsingArgs.html, Wrong argument to Long.parseLong(String s)
Iterator_HasNext, org.apache.commons.fileupload.FileItemHeadersTest.testFileItemHeaders(FileItemHeadersTest.java:50), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Iterator_HasNext.html, Iterator.hasNext() was not called before calling next().
Iterator_HasNext, org.apache.commons.fileupload.StreamingTest.testFileUpload(StreamingTest.java:55), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Iterator_HasNext.html, Iterator.hasNext() was not called before calling next().
Serializable_UID, org.apache.commons.io.filefilter.TrueFileFilter.<clinit>(TrueFileFilter.java:42), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Serializable_UID.html, A serializable class org.apache.commons.io.filefilter.TrueFileFilter does not declare a serialVersionUID
Serializable_UID, org.apache.commons.io.filefilter.DirectoryFileFilter.<clinit>(DirectoryFileFilter.java:54), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Serializable_UID.html, A serializable class org.apache.commons.io.filefilter.DirectoryFileFilter does not declare a serialVersionUID
Serializable_UID, org.apache.commons.io.filefilter.NameFileFilter.<clinit>(NameFileFilter.java:1), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Serializable_UID.html, A serializable class org.apache.commons.io.filefilter.NameFileFilter does not declare a serialVersionUID
Serializable_UID, org.apache.commons.io.filefilter.AndFileFilter.<clinit>(AndFileFilter.java:1), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Serializable_UID.html, A serializable class org.apache.commons.io.filefilter.AndFileFilter does not declare a serialVersionUID
Serializable_UID, org.apache.commons.io.filefilter.NotFileFilter.<clinit>(NotFileFilter.java:1), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Serializable_UID.html, A serializable class org.apache.commons.io.filefilter.NotFileFilter does not declare a serialVersionUID
Serializable_UID, org.apache.commons.io.filefilter.OrFileFilter.<clinit>(OrFileFilter.java:1), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Serializable_UID.html, A serializable class org.apache.commons.io.filefilter.OrFileFilter does not declare a serialVersionUID
ObjectOutput_Close, (Unknown), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/ObjectOutput_Close.html, close() was not called.
