Specification, Line, Documentation, Message
Collection_StandardConstructors, es.usc.citius.lab.hipster.collections.HashQueue.<clinit>(HashQueue.java:1), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Collection_StandardConstructors.html, es.usc.citius.lab.hipster.collections.HashQueue does not define the 'standard' constructors.
Serializable_UID, es.usc.citius.hipster.util.examples.maze.Maze2D$Symbol.<clinit>(Maze2D.java:82), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Serializable_UID.html, A serializable class es.usc.citius.hipster.util.examples.maze.Maze2D$Symbol does not declare a serialVersionUID
Iterator_HasNext, es.usc.citius.lab.hipster.collections.HashQueue.poll(HashQueue.java:33), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Iterator_HasNext.html, Iterator.hasNext() was not called before calling next().
Serializable_UID, es.usc.citius.hipster.algorithm.NegativeCycleException.<clinit>(NegativeCycleException.java:1), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Serializable_UID.html, A serializable class es.usc.citius.hipster.algorithm.NegativeCycleException does not declare a serialVersionUID
Iterator_HasNext, es.usc.citius.hipster.algorithm.Algorithm$SearchResult.getGoalNode(Algorithm.java:79), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Iterator_HasNext.html, Iterator.hasNext() was not called before calling next().
Serializable_UID, es.usc.citius.hipster.util.examples.RomanianProblem$City.<clinit>(RomanianProblem.java:26), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Serializable_UID.html, A serializable class es.usc.citius.hipster.util.examples.RomanianProblem$City does not declare a serialVersionUID
Iterator_HasNext, es.usc.citius.hipster.algorithm.problem.romanian.IDAStarRomaniaProblemOptimalSearchTest.iterativeSearch(IDAStarRomaniaProblemOptimalSearchTest.java:43), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Iterator_HasNext.html, Iterator.hasNext() was not called before calling next().
Iterator_HasNext, es.usc.citius.hipster.algorithm.problem.romanian.BellmanFordRomaniaProblemOptimalSearchTest.iterativeSearch(BellmanFordRomaniaProblemOptimalSearchTest.java:42), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Iterator_HasNext.html, Iterator.hasNext() was not called before calling next().
Iterator_HasNext, es.usc.citius.hipster.algorithm.problem.romanian.AStarRomaniaProblemOptimalSearchTest.iterativeSearch(AStarRomaniaProblemOptimalSearchTest.java:41), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Iterator_HasNext.html, Iterator.hasNext() was not called before calling next().
Iterator_HasNext, es.usc.citius.hipster.algorithm.problem.romanian.DijkstraRomaniaProblemOptimalSearchTest.iterativeSearch(DijkstraRomaniaProblemOptimalSearchTest.java:41), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Iterator_HasNext.html, Iterator.hasNext() was not called before calling next().
Iterator_HasNext, es.usc.citius.hipster.algorithm.problem.romanian.ADStarRomaniaProblemOptimalSearchTest.iterativeSearch(ADStarRomaniaProblemOptimalSearchTest.java:41), http://runtimeverification.com/monitor/annotated-java/__properties/html/mop/Iterator_HasNext.html, Iterator.hasNext() was not called before calling next().
